"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2026","25.00","25.27","25.30","24.00","14.50M","-1.03%"
"03/22/2026","25.26","25.50","26.23","25.20","14.34M","0.64%"
"03/15/2026","25.10","25.70","25.88","24.32","11.43M","-2.30%"
"03/08/2026","25.69","24.80","26.10","23.83","26.54M","4.39%"
"03/01/2026","24.61","24.80","25.47","23.00","25.94M","-4.98%"
"02/22/2026","25.90","27.20","27.39","25.00","13.53M","-4.57%"
"02/15/2026","27.14","26.08","29.28","25.45","44.93M","4.75%"
"02/08/2026","25.91","24.30","26.40","24.25","30.44M","7.07%"
"02/01/2026","24.20","24.13","24.70","23.90","15.29M","0.79%"
"01/25/2026","24.01","23.47","24.50","23.31","17.52M","2.30%"
"01/18/2026","23.47","23.10","23.90","22.73","13.57M","2.09%"
"01/11/2026","22.99","23.33","24.35","22.20","16.11M","-1.33%"
"01/04/2026","23.30","25.41","25.65","23.04","12.81M","-8.27%"
"12/28/2025","25.40","25.42","25.91","25.13","6.43M","-0.04%"
"12/21/2025","25.41","25.30","25.54","25.00","4.95M","0.43%"
"12/14/2025","25.30","25.67","26.50","25.00","12.84M","-1.52%"
"12/07/2025","25.69","25.00","25.90","24.95","11.23M","3.17%"
"11/30/2025","24.90","25.11","25.98","24.87","10.01M","-0.44%"
"11/23/2025","25.01","24.90","26.00","24.70","14.13M","0.44%"
"11/16/2025","24.90","25.06","25.80","24.70","11.25M","-0.48%"
"11/09/2025","25.02","25.70","27.14","24.77","18.30M","-2.83%"
"11/02/2025","25.75","24.80","26.79","24.25","29.07M","4.08%"
"10/26/2025","24.74","23.00","24.95","23.00","27.68M","7.61%"
"10/19/2025","22.99","22.88","23.19","22.45","14.01M","0.83%"
"10/12/2025","22.80","21.20","23.25","21.16","28.94M","6.54%"
"10/05/2025","21.40","21.40","21.94","21.12","7.16M","0.52%"
"09/28/2025","21.29","21.00","22.00","21.00","16.77M","1.38%"
"09/21/2025","21.00","20.71","21.40","20.38","8.54M","1.40%"
"09/14/2025","20.71","21.96","22.35","20.53","8.81M","-5.65%"
"09/07/2025","21.95","22.02","22.46","21.70","13.49M","0.73%"
"08/31/2025","21.79","23.21","23.49","21.67","8.64M","-6.00%"
"08/24/2025","23.18","23.65","23.85","22.80","8.66M","-1.99%"
"08/17/2025","23.65","23.15","24.20","23.01","12.58M","2.29%"
"08/10/2025","23.12","22.31","23.79","22.31","19.31M","4.14%"
"08/03/2025","22.20","22.51","22.70","22.00","9.60M","-1.33%"
"07/27/2025","22.50","22.77","23.20","21.71","17.19M","-0.44%"
"07/20/2025","22.60","21.50","22.76","21.42","18.49M","5.90%"
"07/13/2025","21.34","21.50","21.89","20.99","11.37M","-0.51%"
"07/06/2025","21.45","21.90","22.29","21.25","12.99M","-1.24%"
"06/29/2025","21.72","21.72","21.97","20.75","20.21M","1.50%"
"06/22/2025","21.40","18.40","21.80","18.10","25.68M","12.63%"
"06/15/2025","19.00","21.73","21.80","18.37","25.32M","-16.34%"
"06/08/2025","22.71","22.80","23.43","22.68","9.58M","-0.31%"
"06/01/2025","22.78","23.90","24.00","22.53","12.63M","-4.29%"
"05/25/2025","23.80","22.67","24.05","22.52","30.87M","5.68%"
"05/18/2025","22.52","23.37","23.50","22.45","15.06M","-2.51%"
"05/11/2025","23.10","23.40","23.80","22.47","13.20M","-0.86%"
"05/04/2025","23.30","24.11","25.25","22.93","22.17M","-2.92%"
"04/27/2025","24.00","23.50","24.50","23.40","15.60M","3.00%"
"04/20/2025","23.30","23.25","23.48","22.67","4.73M","0.87%"
"04/13/2025","23.10","22.30","23.49","22.09","19.37M","3.59%"
"04/06/2025","22.30","23.70","24.10","21.50","22.44M","-8.98%"
"03/30/2025","24.50","23.55","24.55","23.01","2.18M","4.26%"
"03/23/2025","23.50","24.98","25.20","23.45","11.71M","-5.92%"
"03/16/2025","24.98","25.30","27.50","24.34","20.47M","-1.26%"
"03/09/2025","25.30","23.20","25.80","22.80","26.17M","9.05%"
"03/02/2025","23.20","22.03","23.97","22.03","20.73M","5.41%"
"02/23/2025","22.01","20.10","22.77","19.85","45.91M","9.50%"
"02/16/2025","20.10","17.51","20.70","17.51","30.88M","15.19%"
"02/09/2025","17.45","17.90","18.10","16.50","11.51M","-2.51%"
"02/02/2025","17.90","18.00","18.16","17.25","9.30M","0.00%"
"01/26/2025","17.90","17.42","18.60","17.37","15.54M","2.81%"
"01/19/2025","17.41","18.37","18.60","17.41","14.39M","-5.23%"
"01/12/2025","18.37","18.40","18.41","16.70","22.95M","-0.27%"
"01/05/2025","18.42","18.75","19.40","18.40","9.80M","-1.50%"
"12/29/2024","18.70","18.50","18.89","18.10","13.14M","1.63%"
"12/22/2024","18.40","18.87","19.43","18.20","20.97M","-1.92%"
"12/15/2024","18.76","19.05","20.98","18.26","50.22M","-0.74%"
"12/08/2024","18.90","17.66","19.99","17.06","38.37M","7.14%"
"12/01/2024","17.64","15.51","18.00","15.38","45.26M","15.29%"
"11/24/2024","15.30","15.20","15.50","14.65","16.24M","0.66%"
"11/17/2024","15.20","14.88","15.20","14.17","16.21M","2.29%"
"11/10/2024","14.86","15.38","15.74","14.78","32.78M","-3.38%"
"11/03/2024","15.38","13.25","15.40","13.25","37.42M","16.52%"
"10/27/2024","13.20","12.91","13.40","12.75","10.44M","2.72%"
"10/20/2024","12.85","12.95","13.40","12.16","16.92M","-0.54%"
"10/13/2024","12.92","13.90","13.90","12.58","13.37M","-7.05%"
"10/06/2024","13.90","14.31","14.83","13.60","10.99M","-1.07%"
"09/29/2024","14.05","14.60","14.80","13.80","18.90M","-3.90%"
"09/22/2024","14.62","14.10","15.25","14.10","20.35M","3.69%"
"09/15/2024","14.10","13.92","14.21","13.30","11.51M","1.73%"
"09/08/2024","13.86","14.86","15.00","13.63","15.49M","-6.67%"
"09/01/2024","14.85","13.87","15.74","13.80","21.42M","7.22%"
"08/25/2024","13.85","13.80","14.50","13.74","29.79M","0.80%"
"08/18/2024","13.74","12.50","13.79","12.40","28.82M","10.36%"
"08/11/2024","12.45","12.20","13.00","12.08","14.25M","3.66%"
"08/04/2024","12.01","12.11","12.35","10.61","15.13M","-4.30%"
"07/28/2024","12.55","13.10","13.14","12.28","27.64M","-3.54%"
"07/21/2024","13.01","13.68","13.80","12.86","33.14M","-5.04%"
"07/14/2024","13.70","12.67","13.70","12.20","24.99M","8.21%"
